"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\CRM Purple\React\purple-crm-react\src\@types\List\GetCompanyUsersListProps.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"d:\CRM Purple\React\purple-crm-react\src\@types\List\PaginationProps.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"d:\CRM Purple\React\purple-crm-react\src\@types\List\ProductsManagementListProps.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"d:\CRM Purple\React\purple-crm-react\src\@types\List\TeamManagementListProps.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\AddCompanyTeamUsersAgGridProps.ts", "TypeScript", 9, 0, 0, 0, 4, 13
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyProductTeamsAgGridProps.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyTeamUsersAgGridProps.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyUserAgGridProps.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\LeadManagementAgGridProps.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\PaginationDataProps.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\ProductTaxManagementAgGridProps.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\ProductsManagementGridProps.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\SearchDropDownOptions.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\TeamManagementAgGridProps.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"d:\CRM Purple\React\purple-crm-react\src\@types\auth\forms\SignInFormDataType.ts", "TypeScript", 5, 0, 0, 6, 2, 13
"d:\CRM Purple\React\purple-crm-react\src\@types\auth\forms\SignUpFormDataType.ts", "TypeScript", 8, 0, 0, 4, 1, 13
"d:\CRM Purple\React\purple-crm-react\src\@types\auth\views\AuthLayoutProps.ts", "TypeScript", 6, 0, 0, 6, 2, 14
"d:\CRM Purple\React\purple-crm-react\src\@types\auth\views\EmailVerificationType.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\AccessManagementContextType.ts", "TypeScript", 19, 0, 0, 13, 4, 36
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\AccessRightsModalProps.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\CompanyUser.ts", "TypeScript", 12, 0, 0, 0, 1, 13
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\CompanyUserProps.ts", "TypeScript", 15, 0, 0, 9, 3, 27
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\HandleSearchOptionProps.ts", "TypeScript", 6, 0, 0, 0, 0, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\LoggedInUserContextType.ts", "TypeScript", 16, 0, 0, 10, 3, 29
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\ManageCompanyUserContextType.ts", "TypeScript", 8, 0, 0, 0, 4, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\config\RoutesChildrenNode.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\CRM Purple\React\purple-crm-react\src\@types\dialogue\DialogueProps.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\error\ApiError.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\forms\CreatePasswordFormTypes.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\home\loading-page\LoadingPageProps.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\CRM Purple\React\purple-crm-react\src\@types\home\navbar\NavBarProps.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\home\navbar\SideBarProps.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\home\navbar\SideNavBarItemProps.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"d:\CRM Purple\React\purple-crm-react\src\@types\lead-management\LeadManagementProps.ts", "TypeScript", 16, 0, 0, 0, 2, 18
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddCompanyUserModalProps.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddCompanyUserStateType.ts", "TypeScript", 6, 0, 0, 0, 0, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddProductModalProps.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddTeamModalProps.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\CompanyProductTeamsModalProps.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\CompanyProductUsersModalProps.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\CreateCompanyProductCompanyUserModalProps.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\CreateCompanyProductTaxModalProps.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\EditCompanyProductModal.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\EditCompanyTeamModalProps.ts", "TypeScript", 8, 0, 0, 0, 4, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\EditCompanyUserProps.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"d:\CRM Purple\React\purple-crm-react\src\@types\product-teams-management\CompanyProductTeam.ts", "TypeScript", 13, 0, 0, 9, 11, 33
"d:\CRM Purple\React\purple-crm-react\src\@types\product-users-management\CompanyProductUser.ts", "TypeScript", 13, 0, 0, 27, 5, 45
"d:\CRM Purple\React\purple-crm-react\src\@types\product-users-management\CompanyProductUserNotAssigned.ts", "TypeScript", 12, 0, 0, 27, 4, 43
"d:\CRM Purple\React\purple-crm-react\src\@types\products\ProductTaxManagementProps.ts", "TypeScript", 13, 0, 0, 0, 1, 14
"d:\CRM Purple\React\purple-crm-react\src\@types\products\ProductsManagementProps.ts", "TypeScript", 19, 0, 0, 14, 4, 37
"d:\CRM Purple\React\purple-crm-react\src\@types\team-management\AddTeamFormDataState.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamListProps.ts", "TypeScript", 11, 0, 0, 8, 2, 21
"d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamUsers.ts", "TypeScript", 12, 0, 0, 0, 1, 13
