"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\crm\purple-crm-react\src\@types\List\PaginationProps.ts", "TypeScript", 0, 8, 0, 0, 0, 8
"d:\crm\purple-crm-react\src\@types\ag-grid\PaginationDataProps.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"d:\crm\purple-crm-react\src\@types\ag-grid\SearchDropDownOptions.ts", "TypeScript", 0, 13, 0, 0, 2, 15
"d:\crm\purple-crm-react\src\@types\auth\forms\SignInFormDataType.ts", "TypeScript", 0, 5, 0, 6, 2, 13
"d:\crm\purple-crm-react\src\@types\auth\forms\SignUpFormDataType.ts", "TypeScript", 0, 8, 0, 4, 1, 13
"d:\crm\purple-crm-react\src\@types\auth\views\AuthLayoutProps.ts", "TypeScript", 0, 6, 0, 6, 2, 14
"d:\crm\purple-crm-react\src\@types\auth\views\EmailVerificationType.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\crm\purple-crm-react\src\@types\company-users\AccessManagementContextType.ts", "TypeScript", 0, 19, 0, 13, 4, 36
"d:\crm\purple-crm-react\src\@types\company-users\AccessRightsModalProps.ts", "TypeScript", 0, 16, 0, 0, 1, 17
"d:\crm\purple-crm-react\src\@types\company-users\CompanyUser.ts", "TypeScript", 0, 12, 0, 0, 1, 13
"d:\crm\purple-crm-react\src\@types\company-users\CompanyUserProps.ts", "TypeScript", 0, 15, 0, 0, 1, 16
"d:\crm\purple-crm-react\src\@types\company-users\HandleSearchOptionProps.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"d:\crm\purple-crm-react\src\@types\company-users\LoggedInUserContextType.ts", "TypeScript", 0, 19, 0, 11, 3, 33
"d:\crm\purple-crm-react\src\@types\company-users\ManageCompanyUserContextType.ts", "TypeScript", 0, 8, 0, 0, 4, 12
"d:\crm\purple-crm-react\src\@types\config\RoutesChildrenNode.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\crm\purple-crm-react\src\@types\dialogue\DialogueProps.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"d:\crm\purple-crm-react\src\@types\error\ApiError.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"d:\crm\purple-crm-react\src\@types\forms\CreatePasswordFormTypes.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"d:\crm\purple-crm-react\src\@types\home\loading-page\LoadingPageProps.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\crm\purple-crm-react\src\@types\home\navbar\NavBarProps.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\crm\purple-crm-react\src\@types\home\navbar\SideBarProps.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\crm\purple-crm-react\src\@types\home\navbar\SideNavBarItemProps.ts", "TypeScript", 0, 9, 0, 0, 1, 10
"d:\crm\purple-crm-react\src\@types\lead-management\LeadManagementProps.ts", "TypeScript", 0, 23, 0, 0, 2, 25
"d:\crm\purple-crm-react\src\@types\modal\AddCompanyUserModalProps.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\crm\purple-crm-react\src\@types\modal\AddCompanyUserStateType.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"d:\crm\purple-crm-react\src\@types\modal\AddProductModalProps.ts", "TypeScript", 0, 7, 0, 0, 2, 9
"d:\crm\purple-crm-react\src\@types\modal\CreateCompanyProductCompanyUserModalProps.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"d:\crm\purple-crm-react\src\@types\modal\CreateCompanyProductTaxModalProps.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"d:\crm\purple-crm-react\src\@types\modal\EditCompanyProductModal.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"d:\crm\purple-crm-react\src\@types\modal\EditCompanyUserProps.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"d:\crm\purple-crm-react\src\@types\product-teams-management\CompanyProductTeam.ts", "TypeScript", 0, 12, 0, 9, 11, 32
"d:\crm\purple-crm-react\src\@types\product-users-management\CompanyProductUser.ts", "TypeScript", 0, 12, 0, 27, 4, 43
"d:\crm\purple-crm-react\src\@types\products\ProductTaxManagementProps.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"d:\crm\purple-crm-react\src\@types\products\ProductsManagementProps.ts", "TypeScript", 0, 19, 0, 14, 4, 37
"d:\crm\purple-crm-react\src\@types\subscription\CreateSubscriptionState.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"d:\crm\purple-crm-react\src\@types\subscription\SubscriptionListProps.ts", "TypeScript", 0, 12, 0, 18, 3, 33
"d:\crm\purple-crm-react\src\@types\subscription\UpdateSubscription.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"d:\crm\purple-crm-react\src\@types\team-management\AddTeamFormDataState.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\crm\purple-crm-react\src\@types\team-management\CompanyTeamListProps.ts", "TypeScript", 0, 11, 0, 0, 3, 14
"d:\crm\purple-crm-react\src\@types\team-management\CompanyTeamUsers.tsx", "TypeScript JSX", 11, 0, 0, 0, 1, 12
"d:\crm\purple-crm-react\src\@types\ui\ButtonProps.ts", "TypeScript", 0, 16, 0, 3, 3, 22
"d:\crm\purple-crm-react\src\@types\ui\DateRangeFilterDropdown.tsx", "TypeScript JSX", 6, 0, 0, 0, 2, 8
